constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5, 10], [9.0, 1.0, 300], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  3  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 3 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  6  7  8  9  
BanditTestBatch: numCases: 4
BanditTestBatch: maxim sum reward: 2149.0
BanditTestBatch: random reward: 1365.5
 Evals       Score          p01       p02       p03       case01    case02    case03    case04 
     1       86.70     2.500000  1.000000  50.000000        92.50     96.69     75.50     82.10 
     2       83.04     3.839716  0.979176  23.159215        78.61     95.96     75.49     82.09 
     3       89.63     2.180222  0.882543  90.436635        80.85     95.75     99.98     81.96 
     4       86.30     1.522695  0.870702  78.802986        91.49     96.11     75.51     82.09 
     5       92.07     2.566345  0.981511  93.439775        90.58     95.60    100.00     82.10 
     6       77.00     4.459853  0.921600  64.875826        56.34     94.07     75.50     82.09 
     7       83.07     4.125376  0.839646  58.273920        56.34     93.85     99.98     82.11 
     8       75.09     5.606164  0.812022  58.730380        56.34     86.44     75.50     82.09 
     9       81.58     5.765110  0.925074  102.672073        56.34     87.89    100.00     82.08 
    10       74.80     6.160861  0.808275  158.100256        56.34     85.27     75.51     82.09 
    11       80.78     7.016274  0.866847  124.048272        56.34     84.69     99.98     82.11 
    12       75.26     6.325863  0.936185  128.845088        56.34     87.09     75.50     82.10 
    13       80.97     6.788664  0.892632  74.900661        56.34     85.56    100.00     81.96 
    14       75.43     6.297391  0.979291  16.122581        56.34     87.75     75.51     82.10 
    15       80.68     7.968059  0.931123  59.825919        56.34     84.25    100.00     82.10 
    16       74.69     8.202529  0.983557  68.695857        56.34     84.84     75.50     82.09 
    17       74.68     7.330805  0.901036  51.111770        56.34     84.76     75.51     82.10 
    18       80.71     6.419236  0.792491  32.742145        56.34     84.40    100.00     82.10 
    19       81.10     5.354242  0.755035  63.414571        56.34     86.00     99.98     82.09 
    20       72.75     6.929742  0.727440  36.972733        56.34     77.05     75.50     82.09 
    21       75.74     4.117582  0.782495  116.768187        56.34     89.13     75.51     81.96 
    22       81.12     5.272389  0.750380  95.133893        56.34     86.07     99.99     82.08 
    23       75.26     4.123612  0.653635  125.314189        56.34     87.09     75.50     82.10 
    24       81.58     3.642500  0.628157  115.693097        56.34     87.89     99.99     82.09 
    25       79.36     4.968524  0.599350  141.346251        56.34     79.02    100.00     82.09 
    26       77.33     6.577519  0.570260  131.074080        56.34     71.02    100.00     81.96 
    27       77.36     5.016970  0.504893  179.964740        56.34     71.02     99.99     82.08 
    28       73.46     4.706657  0.596290  156.590680        56.34     79.89     75.50     82.10 
    29       79.44     4.638267  0.571222  184.212372        56.34     79.31    100.00     82.09 
    30       78.93     5.210727  0.579021  139.080571        56.34     77.42    100.00     81.96 
    31       77.37     6.267226  0.521285  118.897690        56.34     71.02     99.99     82.12 
    32       77.33     5.465275  0.533628  104.289310        56.34     71.02    100.00     81.96 
    33       77.64     5.645129  0.607578  107.755926        56.34     72.25    100.00     81.97 
    34       77.32     7.004444  0.610513  137.399576        56.34     71.02     99.98     81.95 
    35       77.37     7.898485  0.648441  161.083646        56.34     71.02     99.99     82.11 
    36       77.37     7.385747  0.637291  184.865995        56.34     71.02     99.99     82.11 
    37       78.87     6.430875  0.688268  176.848164        56.34     77.20    100.00     81.96 
    38       79.51     5.651625  0.688288  216.270940        56.34     79.60     99.99     82.09 
    39       74.63     5.689299  0.720314  176.985411        56.34     84.55     75.51     82.10 
    40       75.53     4.475492  0.772011  171.937517        56.34     88.18     75.51     82.10 
    41       80.39     5.063198  0.763992  216.187790        56.34     83.24    100.00     81.97 
    42       81.17     5.008716  0.724869  186.388840        56.34     86.22    100.00     82.10 
    43       75.08     5.509156  0.793602  161.761520        56.34     86.36     75.51     82.10 
    44       81.54     4.443597  0.736747  195.502848        56.34     87.75     99.98     82.09 
    45       81.36     3.365073  0.710405  201.595233        56.34     87.16     99.98     81.94 
    46       80.90     3.848072  0.685312  237.006304        56.34     85.13    100.00     82.12 
    47       75.33     3.434119  0.737339  252.186859        56.34     87.38     75.50     82.10 
    48       76.09     2.361789  0.716799  264.073584        56.34     90.44     75.49     82.09 
    49       76.05     2.302539  0.692012  284.471449        56.34     90.29     75.50     82.09 
    50       89.63     1.127484  0.679802  272.048876        87.54     88.91     99.98     82.10 
    51       84.71     1.574074  0.624828  296.374595        66.76     90.00     99.98     82.09 
    52       81.98     1.060186  0.628625  289.787871        81.33     88.98     75.51     82.11 
    53       84.84     0.698611  0.646974  293.862750        93.49     88.25     75.51     82.09 
    54       84.95     0.575185  0.662210  261.004740        94.24     87.96     75.49     82.09 
    55       84.45     0.749166  0.628472  292.043902        91.87     88.33     75.49     82.10 
    56       87.28     1.176301  0.580406  280.685394        77.63     89.42    100.00     82.09 
    57       75.76     2.106931  0.558788  254.626828        56.34     89.13     75.49     82.09 
    58       76.08     1.740456  0.609426  291.950415        56.34     90.36     75.51     82.11 
    59       82.02     2.131121  0.600148  273.289370        56.34     89.64    100.00     82.12 
    60       82.11     2.146314  0.626886  278.191669        56.34     90.00    100.00     82.09 
    61       81.51     1.256142  0.643040  280.368466        79.16     89.27     75.51     82.10 
    62       82.22     1.723137  0.599286  279.190102        56.34     90.44    100.00     82.11 
    63       87.46     1.246008  0.621937  280.963484        78.41     89.35    100.00     82.08 
    64       84.38     0.748529  0.601782  271.859796        91.51     88.40     75.50     82.09 
    65       83.48     0.989198  0.623575  299.187837        87.50     88.84     75.51     82.08 
    66       76.13     1.806663  0.597766  282.716749        56.34     90.58     75.49     82.09 
    67       83.75     0.953500  0.634168  280.617161        88.63     88.76     75.50     82.12 
    68       89.81     0.920086  0.606653  273.402526        88.38     88.76     99.99     82.10 
    69       85.30     1.474822  0.642287  250.999286        69.61     89.71     99.99     81.88 
    70       89.60     1.008066  0.635802  292.316466        87.59     88.84    100.00     81.97 
    71       89.65     0.958003  0.620028  285.650888        87.72     88.76    100.00     82.11 
    72       90.96     0.603508  0.601856  273.940112        93.64     88.11    100.00     82.09 
    73       84.16     0.791434  0.594796  282.929098        90.48     88.55     75.51     82.12 
    74       84.64     0.659420  0.602514  271.772759        92.73     88.25     75.51     82.07 
    75       89.80     0.902505  0.597536  281.384641        88.35     88.76     99.98     82.10 
    76       84.95     0.519692  0.603057  285.002731        94.36     87.96     75.51     81.97 
    77       87.30     1.286773  0.622103  286.769609        77.83     89.42    100.00     81.97 
    78       88.01     0.975569  0.583756  279.053587        80.94     88.98    100.00     82.10 
    79       84.91     0.502200  0.618818  270.017366        94.15     87.89     75.51     82.09 
    80       81.79     1.070589  0.611094  266.457667        80.53     89.05     75.50     82.09 
    81       84.38     0.789707  0.619220  283.137732        91.44     88.47     75.51     82.10 
    82       90.56     0.681158  0.586374  286.661792        91.83     88.33    100.00     82.09 
    83       88.05     0.949232  0.579673  282.493510        81.21     88.91     99.99     82.09 
    84       90.78     0.637785  0.601613  289.082970        92.88     88.18     99.98     82.09 
    85       90.73     0.676429  0.593539  298.150387        92.51     88.33    100.00     82.09 
    86       90.99     0.567533  0.600383  296.534339        93.86     88.04     99.98     82.09 
    87       84.13     0.824045  0.606514  296.009018        90.40     88.55     75.50     82.09 
    88       84.14     0.835212  0.612035  296.962735        90.40     88.55     75.50     82.10 
    89       84.98     0.530277  0.612097  289.068340        94.35     87.96     75.50     82.10 
    90       91.02     0.534503  0.588931  287.653960        93.97     88.04    100.00     82.09 
    91       90.90     0.577275  0.573753  288.371916        93.55     88.11     99.99     81.97 
    92       90.95     0.579588  0.573450  286.990701        93.54     88.18     99.99     82.11 
    93       84.85     0.551206  0.574861  287.385672        93.73     88.11     75.50     82.07 
    94       84.64     0.604573  0.571235  288.188033        92.79     88.18     75.49     82.11 
    95       90.77     0.612038  0.572755  286.686643        92.75     88.25    100.00     82.07 
    96       90.77     0.612433  0.570487  287.724515        92.72     88.25     99.99     82.11 
    97       90.75     0.619562  0.572145  287.242433        92.68     88.25     99.98     82.10 
    98       90.77     0.612801  0.573843  286.988227        92.75     88.25     99.99     82.08 
    99       84.79     0.589192  0.576123  287.340623        93.49     88.18     75.51     81.97 
   100       84.66     0.597797  0.572959  286.045046        92.85     88.18     75.51     82.10 
   101       84.64     0.620622  0.574933  286.218638        92.71     88.25     75.49     82.09 
   102       84.61     0.612801  0.573843  286.988227        92.75     88.25     75.51     81.91 
   103       90.79     0.789920  0.678927  257.466986        92.75     88.33     99.98     82.09 
   104       82.67     1.648742  0.629068  228.553858        58.65     90.07    100.00     81.96 
   105       91.15     0.638153  0.674807  296.060724        94.46     88.04     99.99     82.10 
   106       82.11     2.077167  0.609375  281.163563        56.34     90.00     99.98     82.10 
   107       76.04     1.522302  0.557746  292.431932        56.34     90.22     75.51     82.07 
   108       78.66     1.698166  0.660009  267.616225        67.03     90.00     75.51     82.11 
   109       81.75     2.425484  0.601149  217.841989        56.34     88.55     99.99     82.11 
   110       80.87     3.913029  0.690402  222.218808        56.34     85.05    100.00     82.09 
   111       73.70     5.973027  0.773547  218.914005        56.34     80.98     75.51     81.96 
   112       79.80     4.277633  0.572853  287.732023        56.34     80.76     99.99     82.09 
   113       73.44     5.205832  0.648725  264.344345        56.34     79.82     75.50     82.08 
   114       73.28     6.313022  0.740418  230.253836        56.34     79.16     75.51     82.09 
   115       79.57     5.522411  0.683228  276.468810        56.34     79.82    100.00     82.10 
   116       80.33     4.314146  0.653238  295.550086        56.34     82.87    100.00     82.12 
   117       74.67     4.188846  0.716660  262.223994        56.34     84.76     75.51     82.07 
   118       80.27     4.247368  0.640582  274.843258        56.34     82.80     99.99     81.97 
   119       75.42     3.298845  0.735162  211.089696        56.34     87.75     75.49     82.10 
   120       90.16     1.598438  0.841805  227.027305        89.40     89.13    100.00     82.10 
   121       79.63     2.082204  0.752299  169.879214        67.80     93.13     75.49     82.11 
   122       76.40     3.184603  0.846477  132.762889        56.34     91.82     75.50     81.95 
   123       81.85     4.294002  0.798545  147.967575        56.34     88.98     99.98     82.09 
   124       75.68     4.047150  0.756856  107.191872        56.34     88.91     75.51     81.96 
   125       76.52     2.709502  0.764225  160.476705        56.34     92.11     75.51     82.11 
   126       88.73     1.358400  0.708235  173.803470        80.50     92.33    100.00     82.10 
   127       82.14     2.496788  0.729136  208.056844        56.34     90.15     99.99     82.07 
